127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.004629
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001901
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/js/ajax_editor.js, HTTP/1.1, 200, 0.000691
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001920
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.002172
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/js/typeahead.min.js, HTTP/1.1, 200, 0.003003
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001040
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000440
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/_2.9.12/images/files_toggle.png, HTTP/1.1, 200, 0.000441
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/default/edit/face/controllers/default.py, HTTP/1.1, 200, 0.054798
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.001382
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.092031
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.135896
127.0.0.1, 2015-02-20 14:58:40, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.194694
127.0.0.1, 2015-02-20 14:58:40, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.183082
127.0.0.1, 2015-02-20 14:58:40, GET, /face/appadmin/hooks, HTTP/1.1, 200, 0.318051
127.0.0.1, 2015-02-20 14:58:51, POST, /admin/default/edit/face/controllers/default.py, HTTP/1.1, 200, 0.049802
127.0.0.1, 2015-02-20 14:58:52, POST, /admin/default/edit/face/controllers/default.py, HTTP/1.1, 200, 0.065748
127.0.0.1, 2015-02-20 14:59:02, GET, /admin/default/site, HTTP/1.1, 200, 0.059099
127.0.0.1, 2015-02-20 14:59:12, GET, /face, HTTP/1.1, 200, 0.691086
127.0.0.1, 2015-02-20 14:59:12, GET, /face/static/js/share.js, HTTP/1.1, 304, 0.000955
127.0.0.1, 2015-02-20 14:59:40, POST, /admin/default/edit/face/controllers/default.py, HTTP/1.1, 200, 0.115088
127.0.0.1, 2015-02-20 14:59:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.223341
127.0.0.1, 2015-02-20 14:59:42, GET, /face/appadmin/hooks, HTTP/1.1, 200, 1.982992
127.0.0.1, 2015-02-20 14:59:42, POST, /admin/default/edit/face/controllers/default.py, HTTP/1.1, 200, 1.046527
127.0.0.1, 2015-02-20 14:59:54, GET, /face/user, HTTP/1.1, 404, 0.218561
127.0.0.1, 2015-02-20 14:59:57, GET, /face, HTTP/1.1, 200, 0.616837
127.0.0.1, 2015-02-20 15:00:15, POST, /admin/default/edit/face/controllers/default.py, HTTP/1.1, 200, 0.054692
127.0.0.1, 2015-02-20 15:00:22, POST, /admin/default/edit/face/controllers/default.py, HTTP/1.1, 200, 0.052445
127.0.0.1, 2015-02-20 15:00:28, POST, /admin/default/edit/face/controllers/default.py, HTTP/1.1, 200, 0.054558
127.0.0.1, 2015-02-20 15:00:32, POST, /admin/default/edit/face/controllers/default.py, HTTP/1.1, 200, 0.050965
127.0.0.1, 2015-02-20 15:00:34, POST, /admin/default/edit/face/controllers/default.py, HTTP/1.1, 200, 0.069817
127.0.0.1, 2015-02-20 15:00:38, GET, /face, HTTP/1.1, 200, 0.629883
127.0.0.1, 2015-02-20 15:00:38, GET, /face/static/js/share.js, HTTP/1.1, 304, 0.000908
127.0.0.1, 2015-02-20 15:00:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.180579
127.0.0.1, 2015-02-20 15:00:42, GET, /face/appadmin/hooks, HTTP/1.1, 200, 1.909369
127.0.0.1, 2015-02-20 15:00:53, GET, /admin/default/edit/face/views/layout.html, HTTP/1.1, 200, 0.095280
127.0.0.1, 2015-02-20 15:00:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.017132
127.0.0.1, 2015-02-20 15:01:02, GET, /admin/default/edit/face/views/default/index.html, HTTP/1.1, 200, 0.069245
127.0.0.1, 2015-02-20 15:01:02, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.019198
127.0.0.1, 2015-02-20 15:01:11, GET, /admin/default/edit/face/views/layout.html, HTTP/1.1, 200, 0.037398
127.0.0.1, 2015-02-20 15:01:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.135427
127.0.0.1, 2015-02-20 15:01:42, GET, /face/appadmin/hooks, HTTP/1.1, 200, 2.145314
127.0.0.1, 2015-02-20 15:01:54, GET, /face, HTTP/1.1, 200, 0.575489
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002747
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/js/calendar.js, HTTP/1.1, 200, 0.003738
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/css/calendar.css, HTTP/1.1, 200, 0.006134
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/js/jquery.js, HTTP/1.1, 200, 0.004795
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/js/web2py.js, HTTP/1.1, 200, 0.007251
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/css/web2py.css, HTTP/1.1, 200, 0.009534
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.010211
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004513
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.010594
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002032
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/js/share.js, HTTP/1.1, 200, 0.003647
127.0.0.1, 2015-02-20 15:01:54, GET, /face/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.005429
127.0.0.1, 2015-02-20 15:01:55, GET, /face/static/images/twitter.png, HTTP/1.1, 200, 0.001694
127.0.0.1, 2015-02-20 15:01:55, GET, /face/static/images/facebook.png, HTTP/1.1, 200, 0.003898
127.0.0.1, 2015-02-20 15:01:55, GET, /face/static/images/gplus-32.png, HTTP/1.1, 200, 0.004579
127.0.0.1, 2015-02-20 15:02:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.119675
127.0.0.1, 2015-02-20 15:02:42, GET, /face/appadmin/hooks, HTTP/1.1, 200, 2.128150
127.0.0.1, 2015-02-20 15:03:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.061534
127.0.0.1, 2015-02-20 15:03:40, GET, /face/appadmin/hooks, HTTP/1.1, 200, 0.364268
127.0.0.1, 2015-02-20 15:04:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.068945
127.0.0.1, 2015-02-20 15:04:40, GET, /face/appadmin/hooks, HTTP/1.1, 200, 0.375168
127.0.0.1, 2015-02-20 15:05:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.084108
127.0.0.1, 2015-02-20 15:05:40, GET, /face/appadmin/hooks, HTTP/1.1, 200, 0.247765
